age,frequency,duration,group_size,helpful_activity,understanding,cgpa_range,grade_effect,stress_effect,motivation_score,solo_vs_group,location,overall_effect
20-22,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,4,They are equally effective,Online (e.g. Zoom),Highly effective
23-25,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,3.5,Solo study is more effective,Library,Highly effective
26-28,3-4 times,,2-3 people,Reviewing notes or past exams,No noticeable change,Below 2.00,No change,Significantly increased stress,2,Group study is more effective,Classroom,Not effective
20-22,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,1.5,They are equally effective,Café,Moderately effective
23-25,1-2 times,1-2 hours,4-5 people,Teaching material to peers,,2.50-2.99,Slightly worsened,Somewhat increased stress,3,Solo study is more effective,Online (e.g. Zoom),Not effective
26-28,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,4.5,Group study is more effective,Library,Highly effective
20-22,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,2.5,They are equally effective,Classroom,Highly effective
23-25,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),No noticeable change,Below 2.00,No change,Significantly increased stress,5,Solo study is more effective,Café,Not effective
26-28,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,1,Group study is more effective,Online (e.g. Zoom),Not effective
20-22,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,4,They are equally effective,Library,Not effective
23-25,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,2,Solo study is more effective,Classroom,Highly effective
26-28,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,3.5,Group study is more effective,Café,Highly effective
20-22,1-2 times,1-2 hours,4-5 people,Teaching material to peers,No noticeable change,Below 2.00,No change,Significantly increased stress,1.5,They are equally effective,Online (e.g. Zoom),Not effective
23-25,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,4.5,Solo study is more effective,Library,Not effective
26-28,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,,Group study is more effective,Classroom,Not effective
20-22,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,3,They are equally effective,Café,Highly effective
23-25,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,5,Solo study is more effective,Online (e.g. Zoom),Highly effective
26-28,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,No noticeable change,Below 2.00,No change,Significantly increased stress,1,Group study is more effective,Library,Not effective
20-22,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,4,They are equally effective,Classroom,Not effective
23-25,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,2,Solo study is more effective,Café,Not effective
26-28,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,3.5,Group study is more effective,Online (e.g. Zoom),Highly effective
20-22,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,4.5,They are equally effective,Library,Highly effective
23-25,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,No noticeable change,Below 2.00,No change,Significantly increased stress,2.5,Solo study is more effective,Classroom,Not effective
26-28,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,1.5,Group study is more effective,Café,Not effective
20-22,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,3,They are equally effective,Online (e.g. Zoom),Not effective
23-25,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,4,Solo study is more effective,Library,Highly effective
26-28,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,2,Group study is more effective,Classroom,Highly effective
20-22,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),No noticeable change,Below 2.00,No change,Significantly increased stress,5,They are equally effective,Café,Not effective
23-25,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,1,Solo study is more effective,Online (e.g. Zoom),Not effective
26-28,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,3.5,Group study is more effective,Library,Not effective
20-22,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,4.5,They are equally effective,Classroom,Highly effective
23-25,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,2.5,Solo study is more effective,Café,Highly effective
26-28,1-2 times,1-2 hours,4-5 people,Teaching material to peers,No noticeable change,Below 2.00,No change,Significantly increased stress,1.5,Group study is more effective,Online (e.g. Zoom),Moderately effective
20-22,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,4,They are equally effective,Library,Not effective
23-25,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,2,Solo study is more effective,Classroom,Not effective
26-28,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,3.5,Group study is more effective,Café,Highly effective
20-22,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,4.5,They are equally effective,Online (e.g. Zoom),Highly effective
23-25,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,No noticeable change,Below 2.00,No change,Significantly increased stress,2.5,Solo study is more effective,Library,Not effective
26-28,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,1,Group study is more effective,Classroom,Not effective
20-22,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,3,They are equally effective,Café,Not effective
23-25,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,4,Solo study is more effective,Online (e.g. Zoom),Highly effective
26-28,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,2,Group study is more effective,Library,Highly effective
20-22,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,No noticeable change,Below 2.00,No change,Significantly increased stress,5,They are equally effective,Classroom,Moderately effective
23-25,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,1.5,Solo study is more effective,Café,Not effective
26-28,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,3.5,Group study is more effective,Online (e.g. Zoom),Not effective
20-22,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,4.5,They are equally effective,Library,Highly effective
23-25,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,2.5,Solo study is more effective,Classroom,Highly effective
26-28,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),No noticeable change,Below 2.00,No change,Significantly increased stress,1,Group study is more effective,Café,Not effective
20-22,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,4,They are equally effective,Online (e.g. Zoom),Moderately effective
23-25,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,2,Solo study is more effective,Library,Not effective
26-28,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,3.5,Group study is more effective,Classroom,Highly effective
20-22,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Somewhat increases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,4.5,They are equally effective,Café,Highly effective
23-25,1-2 times,1-2 hours,4-5 people,Teaching material to peers,No noticeable change,Below 2.00,No change,Significantly increased stress,2.5,Solo study is more effective,Online (e.g. Zoom),Not effective
26-28,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,1.5,Group study is more effective,Library,Not effective
20-22,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,3,They are equally effective,Classroom,Not effective
23-25,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Significantly increases understanding,3.00-3.49,Significantly improved,Significantly reduced stress,4,Solo study is more effective,Café,Highly effective
26-28,1-2 times,1-2 hours,4-5 people,Teaching material to peers,Somewhat decreases understanding,3.50-4.00,Slightly improved,Somewhat reduced stress,2,Group study is more effective,Online (e.g. Zoom),Highly effective
20-22,5 or more times,Less than 1 hour,6-8 people,Discussing and explaining concepts,No noticeable change,Below 2.00,No change,Significantly increased stress,5,They are equally effective,Library,Not effective
23-25,3-4 times,More than 3 hours,2-3 people,Reviewing notes or past exams,Significantly decreases understanding,2.00-2.49,Significantly worsened,No change,1,Solo study is more effective,Classroom,Moderately effective
26-28,Never,2-3 hours,More than 8 people,Quizzing each other (practice problems),Somewhat decreases understanding,2.50-2.99,Slightly worsened,Somewhat increased stress,3.5,Group study is more effective,Café,Not effective
